Time,Track Points,Position,Angle,Velocity,Angular Velocity
1742175498.5035272,"{'yellow': (135, 101), 'red': (96, 108)}","[223, 493]",2.9639964863063053,[-2.38040173 -0.35526355],0.285271924690727
1742175498.5692682,"{'yellow': (133, 100), 'red': (97, 109)}","[223, 493]",2.896613990462929,[-1.13005848 -0.29862628],-0.14145660140276417
1742175498.628614,"{'yellow': (135, 100), 'red': (96, 108)}","[223, 493]",2.9392710252114895,[-0.53527141 -0.26153997],0.018339410799957948
1742175498.6831524,"{'yellow': (135, 100), 'red': (97, 109)}","[224, 493]",2.909035711784884,[5.39317112 0.        ],-0.056329007848047744
1742175498.7518547,"{'yellow': (131, 100), 'red': (95, 109)}","[222, 493]",2.896613990462929,[-6.04487847  0.        ],-0.16904913739343833
1742175498.8088899,"{'yellow': (136, 98), 'red': (99, 109)}","[224, 492]",2.852617243597227,[ 2.90564535 -5.66225312],-0.3868696597925961
1742175498.863895,"{'yellow': (134, 101), 'red': (96, 110)}","[224, 493]",2.909035711784884,[6.80492216 0.        ],-0.02306714662714845
1742175498.924826,"{'yellow': (133, 100), 'red': (96, 108)}","[223, 493]",2.9286543040103963,[-2.00881839  2.11789894],0.20956095250883222
1742175498.990279,"{'yellow': (135, 99), 'red': (97, 109)}","[224, 493]",2.8842689386187046,[2.68281047 0.98838345],-0.09907497341003206
1742175499.050766,"{'yellow': (133, 101), 'red': (95, 109)}","[223, 494]",2.9340964271545906,[-1.5560918  6.2641115],0.12239671827286386
1742175499.1104052,"{'yellow': (134, 97), 'red': (97, 108)}","[223, 492]",2.852617243597227,[-3.20753297 -5.13228002],-0.2586790303918778
1742175499.1684613,"{'yellow': (134, 101), 'red': (97, 109)}","[223, 493]",2.9286543040103963,[-1.93020231 -1.72425543],0.09088358157591112
1742175499.2266567,"{'yellow': (132, 100), 'red': (97, 109)}","[222, 493]",2.8899026818316065,[-7.23655805  1.43616973],0.01459759135171134
1742175499.2834253,"{'yellow': (135, 101), 'red': (98, 108)}","[223, 493]",2.9546133836708823,[-0.91949844  0.66803936],0.2938610696978011
1742175499.3499699,"{'yellow': (134, 100), 'red': (97, 109)}","[223, 493]",2.9029833310815922,[0.88448521 0.42422485],0.026865427256900422
1742175499.4056594,"{'yellow': (134, 100), 'red': (97, 109)}","[223, 493]",2.9029833310815922,[0.40451539 0.10394425],-0.1098996873533312
1742175499.471958,"{'yellow': (134, 99), 'red': (98, 109)}","[224, 493]",2.8706458032513726,[5.75067489 0.06638982],-0.22265416739845428
1742175499.5303278,"{'yellow': (133, 99), 'red': (96, 108)}","[223, 492]",2.9029833310815922,[ 0.24559469 -5.65933699],-0.026886711474211265
1742175499.5894332,"{'yellow': (134, 100), 'red': (97, 110)}","[223, 493]",2.8776289299640885,[-1.7094769   0.03634132],-0.10004754751527443
